legacy id,legacy url,new generated url,url for counting,number of new elements since migration,used in
8978,http://infoscience.epfl.ch/curator/export/8978/?ln=fr,https://infoscience.epfl.ch/search?p=author%3A%27I.+F.+C.+Smith%27+OR+author%3A%27Smith%2C+Ian+F.+C.%27+unit%3Aimac&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3A%27I.+F.+C.+Smith%27+OR+author%3A%27Smith%2C+Ian+F.+C.%27+unit%3Aimac,0,PEOPLE
10499,http://infoscience.epfl.ch/curator/export/10499/?ln=en,https://infoscience.epfl.ch/search?p=%28+iturrate+%29+AND+%28+collection%3AARTICLE+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+iturrate+%29+AND+%28+collection%3AARTICLE+%29,0,PEOPLE
10500,http://infoscience.epfl.ch/curator/export/10500/?ln=en,https://infoscience.epfl.ch/search?p=%28+iturrate+%29+AND+%28+collection%3ACONF+OR+collection%3APROC+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+iturrate+%29+AND+%28+collection%3ACONF+OR+collection%3APROC+%29,0,PEOPLE
10709,http://infoscience.epfl.ch/curator/export/10709/?ln=en,https://infoscience.epfl.ch/search?bskid=4270&of=xm,,n/a,PEOPLE
12858,https://infoscience.epfl.ch/curator/export/12858/?ln=fr,https://infoscience.epfl.ch/search?p=%28+jaligot+%29+AND+%28+collection%3AARTICLE+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+jaligot+%29+AND+%28+collection%3AARTICLE+%29,0,PEOPLE
12858,https://infoscience.epfl.ch/curator/export/12858/?ln=fr,https://infoscience.epfl.ch/search?p=%28+jaligot+%29+AND+%28+collection%3AARTICLE+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+jaligot+%29+AND+%28+collection%3AARTICLE+%29,0,PEOPLE
12857,https://infoscience.epfl.ch/curator/export/12857/?ln=fr,https://infoscience.epfl.ch/search?p=%28+jaligot+%29+AND+%28+collection%3ATALK+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+jaligot+%29+AND+%28+collection%3ATALK+%29,0,PEOPLE
12859,https://infoscience.epfl.ch/curator/export/12859/?ln=fr,https://infoscience.epfl.ch/search?p=%28+jaligot+%29+AND+%28+collection%3ATALK+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+jaligot+%29+AND+%28+collection%3ATALK+%29,0,PEOPLE
12881,https://infoscience.epfl.ch/curator/export/12881/?ln=fr,https://infoscience.epfl.ch/search?p=%28+jaligot+%29+AND+%28+collection%3ACONF+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+jaligot+%29+AND+%28+collection%3ACONF+%29,0,PEOPLE
12881,https://infoscience.epfl.ch/curator/export/12881/?ln=fr,https://infoscience.epfl.ch/search?p=%28+jaligot+%29+AND+%28+collection%3ACONF+%29&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%28+jaligot+%29+AND+%28+collection%3ACONF+%29,0,PEOPLE
